Fri Dec 20 08:47:36 2019
JOBID PARTITION NAME USER STATE TIME TIME_LIMI NODES NODELIST(REASON)
12849512 atlas cream_49 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849513 atlas cream_63 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849514 atlas cream_77 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849515 atlas cream_21 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849516 atlas cream_73 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849517 atlas cream_83 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849518 atlas cream_08 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849555 atlas cream_89 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849556 atlas cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849557 atlas cream_93 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849558 atlas cream_18 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849559 atlas cream_96 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849560 atlas cream_05 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849561 atlas cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849569 atlas cream_12 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849570 atlas cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849571 atlas cream_54 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849572 atlas cream_40 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849586 atlas cream_61 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849605 atlas cream_45 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849606 atlas cream_27 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849607 atlas cream_56 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849608 atlas cream_36 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849609 atlas cream_11 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849610 atlas cream_96 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849611 atlas cream_94 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849612 atlas cream_25 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849613 atlas cream_02 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849614 atlas cream_08 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849615 atlas cream_18 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849616 atlas cream_41 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849617 atlas cream_62 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849618 atlas cream_65 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849619 atlas cream_58 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849620 atlas cream_04 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849621 atlas cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849703 atlas cream_89 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849722 atlas cream_70 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849723 atlas cream_17 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849724 atlas cream_82 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849725 atlas cream_00 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849726 atlas cream_91 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849727 atlas cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849729 atlas cream_16 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849769 atlas cream_35 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849770 atlas cream_14 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849771 atlas cream_47 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849772 atlas cream_68 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849773 atlas cream_96 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849774 atlas cream_70 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849775 atlas cream_22 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849776 atlas cream_01 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849777 atlas cream_96 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849778 atlas cream_38 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849779 atlas cream_55 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849780 atlas cream_23 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849781 atlas cream_28 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849782 atlas cream_52 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849783 atlas cream_99 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849784 atlas cream_26 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849785 atlas cream_74 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849786 atlas cream_26 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849787 atlas cream_90 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849788 atlas cream_24 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849789 atlas cream_48 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849790 atlas cream_81 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849835 atlas cream_12 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849836 atlas cream_03 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849837 atlas cream_95 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849838 atlas cream_96 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849839 atlas cream_12 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849840 atlas cream_19 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849841 atlas cream_78 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849842 atlas cream_78 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849843 atlas cream_53 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
12849844 atlas cream_22 atlasprd PENDING 0:00 1-00:00:00 1 (AssocGrpCpuLimit)
